{'mean': 6.128834355828221, 'median': 1, 'count': 163}
{'mean': 1.8097560975609757, 'median': 3, 'count': 205}
{'mean': -8.842465753424657, 'median': -10.0, 'count': 146}
{'mean': -6.863387978142076, 'median': -6, 'count': 183}
{'mean': 2.85929648241206, 'median': 10, 'count': 199}
{'mean': -0.29878048780487804, 'median': -5.0, 'count': 164}
{'mean': 23.58823529411765, 'median': 16.0, 'count': 204}
{'mean': -9.591160220994475, 'median': -14, 'count': 181}
{'mean': 0.09219858156028368, 'median': -4, 'count': 141}
{'mean': -21.1375, 'median': -22.5, 'count': 80}
{'mean': -7.651162790697675, 'median': -6, 'count': 129}
{'mean': -2.8722222222222222, 'median': -9.5, 'count': 180}
{'mean': -6.078313253012048, 'median': -38.5, 'count': 166}
{'mean': 8.966981132075471, 'median': 11.0, 'count': 212}
{'mean': -6.851485148514851, 'median': -5.0, 'count': 202}
{'mean': 1.035928143712575, 'median': -3, 'count': 167}
{'mean': -12.166666666666666, 'median': -11.5, 'count': 138}
{'mean': 13.844748858447488, 'median': 12, 'count': 219}
{'mean': -0.48128342245989303, 'median': -2, 'count': 187}
{'mean': -3.247422680412371, 'median': -1.0, 'count': 194}
{'mean': -2.263157894736842, 'median': -3, 'count': 133}
{'mean': -26.12280701754386, 'median': -27.5, 'count': 114}
{'mean': -13.632530120481928, 'median': -11.5, 'count': 166}
{'mean': -28.096296296296295, 'median': -31, 'count': 135}
{'mean': -3.86144578313253, 'median': -4.0, 'count': 166}
{'mean': 21.146341463414632, 'median': 24, 'count': 205}
{'mean': 2.5876288659793816, 'median': 3.0, 'count': 194}
{'mean': -13.217687074829932, 'median': -9, 'count': 147}
{'mean': -1.544186046511628, 'median': -1, 'count': 215}
{'mean': 2.2081218274111674, 'median': 3, 'count': 197}
{'mean': 2.7524271844660193, 'median': 4.0, 'count': 206}
{'mean': -17.241176470588236, 'median': -21.0, 'count': 170}
{'mean': -10.675675675675675, 'median': -10.0, 'count': 148}
{'mean': -6, 'median': -5.5, 'count': 156}
{'mean': -9.072289156626505, 'median': -7.0, 'count': 166}
{'mean': -9.217687074829932, 'median': -10, 'count': 147}
{'mean': 15.6, 'median': 25, 'count': 175}
{'mean': -21.162790697674417, 'median': -22.0, 'count': 86}
{'mean': 11.292237442922374, 'median': 6, 'count': 219}
{'mean': -11.273224043715848, 'median': -14, 'count': 183}
{'mean': -12.394904458598726, 'median': -11, 'count': 157}
{'mean': -7.5978260869565215, 'median': -11.0, 'count': 184}
{'mean': -5.629411764705883, 'median': -4.0, 'count': 170}
{'mean': -8.78014184397163, 'median': -10, 'count': 141}
{'mean': -14.735714285714286, 'median': -15.0, 'count': 140}
{'mean': 15.063829787234043, 'median': 13.0, 'count': 188}
{'mean': -19.119402985074625, 'median': -21.0, 'count': 134}
{'mean': 13.45021645021645, 'median': 13, 'count': 231}
{'mean': 3.239795918367347, 'median': 2.0, 'count': 196}
{'mean': -3.671641791044776, 'median': -9.0, 'count': 134}
{'mean': -15.323699421965317, 'median': -20, 'count': 173}
{'mean': -18.54022988505747, 'median': -18.0, 'count': 174}
{'mean': -16.227544910179642, 'median': -13, 'count': 167}
{'mean': -8.676470588235293, 'median': -9.0, 'count': 170}
{'mean': -10.22543352601156, 'median': -9, 'count': 173}
{'mean': -12.405063291139241, 'median': -12.0, 'count': 158}
{'mean': -11.598870056497175, 'median': -12, 'count': 177}
{'mean': -13.664634146341463, 'median': -18.0, 'count': 164}
{'mean': -13.71304347826087, 'median': -14, 'count': 115}
{'mean': -19.24277456647399, 'median': -20, 'count': 173}
{'mean': -13.633540372670808, 'median': -13, 'count': 161}
{'mean': -7.294964028776978, 'median': -13, 'count': 139}
{'mean': -24.916666666666668, 'median': -26.5, 'count': 168}
{'mean': -16.593103448275862, 'median': -16, 'count': 145}
{'mean': 3.517412935323383, 'median': 1, 'count': 201}
{'mean': -9.64327485380117, 'median': -13, 'count': 171}
{'mean': -9.207100591715976, 'median': -7, 'count': 169}
{'mean': -12.880239520958083, 'median': -12, 'count': 167}
{'mean': -22.359477124183005, 'median': -22, 'count': 153}
{'mean': -4.47, 'median': -6.0, 'count': 200}
{'mean': -8.439024390243903, 'median': -8.0, 'count': 164}
{'mean': 2.6320754716981134, 'median': 2.0, 'count': 212}
{'mean': -11.493589743589743, 'median': -9.0, 'count': 156}
{'mean': -11.389473684210527, 'median': -13, 'count': 95}
{'mean': -5.673076923076923, 'median': -7.0, 'count': 156}
{'mean': 10.309278350515465, 'median': 18.5, 'count': 194}
{'mean': -1.8466257668711656, 'median': 1, 'count': 163}
{'mean': -2.1666666666666665, 'median': -4.0, 'count': 150}
{'mean': -24.0546875, 'median': -24.0, 'count': 128}
{'mean': -24.635714285714286, 'median': -24.0, 'count': 140}
{'mean': 8.576271186440678, 'median': 4, 'count': 177}
{'mean': -10.12707182320442, 'median': -10, 'count': 181}
{'mean': -24.277027027027028, 'median': -19.0, 'count': 148}
{'mean': -13.052287581699346, 'median': -17, 'count': 153}
