{'mean': 10.862903225806452, 'median': 16.0, 'count': 248}
{'mean': 15.597222222222221, 'median': 14.5, 'count': 216}
{'mean': 26.979591836734695, 'median': 27, 'count': 245}
{'mean': 2.247311827956989, 'median': 5.0, 'count': 186}
{'mean': 13.112745098039216, 'median': 12.0, 'count': 204}
{'mean': -2.044943820224719, 'median': -1.5, 'count': 178}
{'mean': -11.347305389221557, 'median': -10, 'count': 167}
{'mean': 11.288461538461538, 'median': 14.0, 'count': 208}
{'mean': -9.125925925925927, 'median': -10, 'count': 135}
{'mean': 30.362445414847162, 'median': 26, 'count': 229}
{'mean': 25.301507537688444, 'median': 27, 'count': 199}
{'mean': 11.63677130044843, 'median': 11, 'count': 223}
{'mean': 6.932735426008969, 'median': -5, 'count': 223}
{'mean': 11.924623115577889, 'median': 16, 'count': 199}
{'mean': 17.69333333333333, 'median': 23, 'count': 225}
{'mean': -1.057591623036649, 'median': -4, 'count': 191}
{'mean': -14.576923076923077, 'median': -15.5, 'count': 26}
{'mean': 9.58673469387755, 'median': 24.0, 'count': 196}
{'mean': -6.654135338345864, 'median': -7, 'count': 133}
{'mean': 18.633928571428573, 'median': 19.5, 'count': 224}
{'mean': 19.257731958762886, 'median': 22.0, 'count': 194}
{'mean': -3.8757062146892656, 'median': -5, 'count': 177}
{'mean': 30.9789029535865, 'median': 29, 'count': 237}
{'mean': -2.11, 'median': -2.0, 'count': 200}
{'mean': -17.125874125874127, 'median': -18, 'count': 143}
{'mean': -8.294797687861271, 'median': -4, 'count': 173}
{'mean': 11.084158415841584, 'median': 10.0, 'count': 202}
{'mean': -2.33502538071066, 'median': -4, 'count': 197}
{'mean': 15.019047619047619, 'median': 12.5, 'count': 210}
{'mean': 19.647577092511014, 'median': 17, 'count': 227}
{'mean': 4.038888888888889, 'median': 4.0, 'count': 180}
{'mean': 3.057017543859649, 'median': 0.0, 'count': 228}
{'mean': 20.920833333333334, 'median': 19.0, 'count': 240}
{'mean': -7.470588235294118, 'median': -9, 'count': 153}
{'mean': 28.864754098360656, 'median': 27.0, 'count': 244}
{'mean': 31.531645569620252, 'median': 31, 'count': 237}
{'mean': 27.635593220338983, 'median': 32.0, 'count': 236}
{'mean': -5.316129032258065, 'median': -1, 'count': 155}
{'mean': 3.411764705882353, 'median': 11.0, 'count': 204}
{'mean': -11.853932584269662, 'median': -13, 'count': 89}
{'mean': 16.081218274111674, 'median': 12, 'count': 197}
{'mean': 15.403846153846153, 'median': 19.0, 'count': 208}
{'mean': -23.25465838509317, 'median': -24, 'count': 161}
{'mean': -3.2364532019704435, 'median': -9, 'count': 203}
